enabled,description,workflow_id,tg_id_usera,timezone,start_time,days_of_week,start_date,end_date,last_started_at,status,time_to_complete_the_procedure,completed
true,Проверить входящие заявки на доставку и расставить приоритеты (слот 00:00),O53EqnIO7LJ1Axrv,544911412,Europe/Kyiv,00:00,1|2|3|4|5|6|7,,,,,,
true,Сверить статусы отгрузок в TMS и обновить таблицу (слот 00:01),Test proga,8041897638,Europe/Kyiv,00:01,1|2|3|4|5|6|7,,,,,,
true,Созвон с водителем: уточнить ETA и точку разгрузки (слот 00:02),Router_Telegram_Router,544911412|8041897638,Europe/Kyiv,00:02,1|2|3|4|5|6|7,,,,,,
true,Проверить наличие на складе по заказам на ближайший рейс (слот 00:03),uN2g1pUp256tdDRV,544911412,Europe/Kyiv,00:03,1|2|3|4|5|6|7,,,,,,
true,Подготовить маршрутный лист для курьера по городу (слот 00:04),O53EqnIO7LJ1Axrv,8041897638,Europe/Kyiv,00:04,1|2|3|4|5|6|7,,,,,,
true,Проверить корректность адресов и контактных телефонов получателей (слот 00:05),Test proga,544911412|8041897638,Europe/Kyiv,00:05,1|2|3|4|5|6|7,,,,,,
true,Согласовать окно доставки с клиентом и зафиксировать в системе (слот 00:06),Router_Telegram_Router,544911412,Europe/Kyiv,00:06,1|2|3|4|5|6|7,,,,,,
true,Собрать пакет документов: ТТН/накладные/акты (слот 00:07),uN2g1pUp256tdDRV,8041897638,Europe/Kyiv,00:07,1|2|3|4|5|6|7,,,,,,
true,Проверить ограничения по габаритам и весу для отправлений (слот 00:08),O53EqnIO7LJ1Axrv,544911412|8041897638,Europe/Kyiv,00:08,1|2|3|4|5|6|7,,,,,,
true,Сформировать задачу на печать этикеток и маркировку (слот 00:09),Test proga,544911412,Europe/Kyiv,00:09,1|2|3|4|5|6|7,,,,,,
true,Проверить очереди на воротах и перераспределить слоты (слот 00:10),Router_Telegram_Router,8041897638,Europe/Kyiv,00:10,1|2|3|4|5|6|7,,,,,,
true,Сверить остатки паллет и запросить пополнение расходников (слот 00:11),uN2g1pUp256tdDRV,544911412|8041897638,Europe/Kyiv,00:11,1|2|3|4|5|6|7,,,,,,
true,Отправить уведомление клиенту о переносе времени доставки (слот 00:12),O53EqnIO7LJ1Axrv,544911412,Europe/Kyiv,00:12,1|2|3|4|5|6|7,,,,,,
true,Проверить возвраты и оформить заявку на обратную логистику (слот 00:13),Test proga,8041897638,Europe/Kyiv,00:13,1|2|3|4|5|6|7,,,,,,
true,Сверить счета перевозчика и подтверждения выполнения рейса (слот 00:14),Router_Telegram_Router,544911412|8041897638,Europe/Kyiv,00:14,1|2|3|4|5|6|7,,,,,,
true,Проверить ошибки в трекинге и открыть тикет в поддержку (слот 00:15),uN2g1pUp256tdDRV,544911412,Europe/Kyiv,00:15,1|2|3|4|5|6|7,,,,,,
true,Подготовить сводку по отгрузкам за час для руководителя (слот 00:16),O53EqnIO7LJ1Axrv,8041897638,Europe/Kyiv,00:16,1|2|3|4|5|6|7,,,,,,
true,Проверить SLA по срочным заказам и эскалировать риски (слот 00:17),Test proga,544911412|8041897638,Europe/Kyiv,00:17,1|2|3|4|5|6|7,,,,,,
true,Уточнить готовность склада к отбору и комплектации (слот 00:18),Router_Telegram_Router,544911412,Europe/Kyiv,00:18,1|2|3|4|5|6|7,,,,,,
true,Перепроверить план загрузки машины и порядок точек (слот 00:19),uN2g1pUp256tdDRV,8041897638,Europe/Kyiv,00:19,1|2|3|4|5|6|7,,,,,,
true,Согласовать замену транспорта при поломке/задержке (слот 00:20),O53EqnIO7LJ1Axrv,544911412|8041897638,Europe/Kyiv,00:20,1|2|3|4|5|6|7,,,,,,
true,Проверить наличие доверенностей и реквизитов получателя (слот 00:21),Test proga,544911412,Europe/Kyiv,00:21,1|2|3|4|5|6|7,,,,,,
true,Проверить температуру/условия хранения для спецгруза (слот 00:22),Router_Telegram_Router,8041897638,Europe/Kyiv,00:22,1|2|3|4|5|6|7,,,,,,
true,Сверить время прибытия и обновить прогноз по доставке (слот 00:23),uN2g1pUp256tdDRV,544911412|8041897638,Europe/Kyiv,00:23,1|2|3|4|5|6|7,,,,,,
true,Проверить документы по международной отправке (инвойс/упаковочный) (слот 00:24),O53EqnIO7LJ1Axrv,544911412,Europe/Kyiv,00:24,1|2|3|4|5|6|7,,,,,,
true,Подготовить задачу на инвентаризацию проблемной номенклатуры (слот 00:25),Test proga,8041897638,Europe/Kyiv,00:25,1|2|3|4|5|6|7,,,,,,
true,Проверить корректность штрихкодов и сканов по партиям (слот 00:26),Router_Telegram_Router,544911412|8041897638,Europe/Kyiv,00:26,1|2|3|4|5|6|7,,,,,,
true,Сформировать список задач для смены логистов (слот 00:27),uN2g1pUp256tdDRV,544911412,Europe/Kyiv,00:27,1|2|3|4|5|6|7,,,,,,
true,Проверить очередь заявок на экспресс-доставку (слот 00:28),O53EqnIO7LJ1Axrv,8041897638,Europe/Kyiv,00:28,1|2|3|4|5|6|7,,,,,,
true,Сверить возвратные документы и закрыть спорные позиции (слот 00:29),Test proga,544911412|8041897638,Europe/Kyiv,00:29,1|2|3|4|5|6|7,,,,,,
true,Проверить сообщения от клиентов и ответить по статусам доставок (слот 00:30),Router_Telegram_Router,544911412,Europe/Kyiv,00:30,1|2|3|4|5|6|7,,,,,,
true,Сформировать реестр отгрузок и отправить бухгалтерии (слот 00:31),uN2g1pUp256tdDRV,8041897638,Europe/Kyiv,00:31,1|2|3|4|5|6|7,,,,,,
true,Проверить входящие заявки на доставку и расставить приоритеты (слот 00:32),O53EqnIO7LJ1Axrv,544911412|8041897638,Europe/Kyiv,00:32,1|2|3|4|5|6|7,,,,,,
true,Сверить статусы отгрузок в TMS и обновить таблицу (слот 00:33),Test proga,544911412,Europe/Kyiv,00:33,1|2|3|4|5|6|7,,,,,,
true,Созвон с водителем: уточнить ETA и точку разгрузки (слот 00:34),Router_Telegram_Router,8041897638,Europe/Kyiv,00:34,1|2|3|4|5|6|7,,,,,,
true,Проверить наличие на складе по заказам на ближайший рейс (слот 00:35),uN2g1pUp256tdDRV,544911412|8041897638,Europe/Kyiv,00:35,1|2|3|4|5|6|7,,,,,,
true,Подготовить маршрутный лист для курьера по городу (слот 00:36),O53EqnIO7LJ1Axrv,544911412,Europe/Kyiv,00:36,1|2|3|4|5|6|7,,,,,,
true,Проверить корректность адресов и контактных телефонов получателей (слот 00:37),Test proga,8041897638,Europe/Kyiv,00:37,1|2|3|4|5|6|7,,,,,,
true,Согласовать окно доставки с клиентом и зафиксировать в системе (слот 00:38),Router_Telegram_Router,544911412|8041897638,Europe/Kyiv,00:38,1|2|3|4|5|6|7,,,,,,
true,Собрать пакет документов: ТТН/накладные/акты (слот 00:39),uN2g1pUp256tdDRV,544911412,Europe/Kyiv,00:39,1|2|3|4|5|6|7,,,,,,
true,Проверить ограничения по габаритам и весу для отправлений (слот 00:40),O53EqnIO7LJ1Axrv,8041897638,Europe/Kyiv,00:40,1|2|3|4|5|6|7,,,,,,
true,Сформировать задачу на печать этикеток и маркировку (слот 00:41),Test proga,544911412|8041897638,Europe/Kyiv,00:41,1|2|3|4|5|6|7,,,,,,
true,Проверить очереди на воротах и перераспределить слоты (слот 00:42),Router_Telegram_Router,544911412,Europe/Kyiv,00:42,1|2|3|4|5|6|7,,,,,,
true,Сверить остатки паллет и запросить пополнение расходников (слот 00:43),uN2g1pUp256tdDRV,8041897638,Europe/Kyiv,00:43,1|2|3|4|5|6|7,,,,,,
true,Отправить уведомление клиенту о переносе времени доставки (слот 00:44),O53EqnIO7LJ1Axrv,544911412|8041897638,Europe/Kyiv,00:44,1|2|3|4|5|6|7,,,,,,
true,Проверить возвраты и оформить заявку на обратную логистику (слот 00:45),Test proga,544911412,Europe/Kyiv,00:45,1|2|3|4|5|6|7,,,,,,
true,Сверить счета перевозчика и подтверждения выполнения рейса (слот 00:46),Router_Telegram_Router,8041897638,Europe/Kyiv,00:46,1|2|3|4|5|6|7,,,,,,
true,Проверить ошибки в трекинге и открыть тикет в поддержку (слот 00:47),uN2g1pUp256tdDRV,544911412|8041897638,Europe/Kyiv,00:47,1|2|3|4|5|6|7,,,,,,
true,Подготовить сводку по отгрузкам за час для руководителя (слот 00:48),O53EqnIO7LJ1Axrv,544911412,Europe/Kyiv,00:48,1|2|3|4|5|6|7,,,,,,
true,Проверить SLA по срочным заказам и эскалировать риски (слот 00:49),Test proga,8041897638,Europe/Kyiv,00:49,1|2|3|4|5|6|7,,,,,,
true,Уточнить готовность склада к отбору и комплектации (слот 00:50),Router_Telegram_Router,544911412|8041897638,Europe/Kyiv,00:50,1|2|3|4|5|6|7,,,,,,
true,Перепроверить план загрузки машины и порядок точек (слот 00:51),uN2g1pUp256tdDRV,544911412,Europe/Kyiv,00:51,1|2|3|4|5|6|7,,,,,,
true,Согласовать замену транспорта при поломке/задержке (слот 00:52),O53EqnIO7LJ1Axrv,8041897638,Europe/Kyiv,00:52,1|2|3|4|5|6|7,,,,,,
